"Monocytes C"	1.60188683963836
"NK"	0.749021326878403
"T CD8 Memory"	0.680038733676581
"T CD4 Naive"	0.803789736569463
"T CD8 Naive"	0.554283071383344
"B Naive"	0.830474573526442
"T CD4 Memory"	0.915518848522562
"MAIT"	0.586886579159884
"T gd Vd2"	0.978694612616693
"Neutrophils LD"	0.591354344063847
"T gd non-Vd2"	0.794170174589765
"Basophils LD"	0.468297600598404
"Monocytes NC+I"	1.69412826660189
"B Memory"	0.876070158504131
"mDCs"	4.98460363063607
"pDCs"	1.40380514821998
"Plasmablasts"	9.120624594303
"Progenitors"	5.04575898035311
